BARGE,SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,EXTERNALCODE,CODE,PORT_FROM,IE,SCOPEINLOCATION,SCOPEOUTLOCATION
LRD,38281,2026-02-07 17:00:00+00:00,2026-02-08 18:00:00+00:00,38281.0,LRD0217,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38441,2026-02-10 11:00:00+00:00,2026-02-11 14:00:00+00:00,38441.0,LRD0218,OSS,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
LRD,38441,2026-02-10 11:00:00+00:00,2026-02-11 14:00:00+00:00,38441.0,LRD0219,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
LRD,38481,2026-02-12 08:00:00+00:00,2026-02-12 18:00:00+00:00,38481.0,LRD0220,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38481,2026-02-12 08:00:00+00:00,2026-02-12 18:00:00+00:00,38481.0,LRD0221,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38641,2026-02-16 13:00:00+00:00,2026-02-16 22:00:00+00:00,38641.0,LRD0222,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38641,2026-02-16 13:00:00+00:00,2026-02-16 22:00:00+00:00,38641.0,LRD0223,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38641,2026-02-16 13:00:00+00:00,2026-02-16 22:00:00+00:00,38641.0,FRS0874,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38641,2026-02-16 13:00:00+00:00,2026-02-16 22:00:00+00:00,38641.0,FRS0875,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38740,2026-02-18 13:00:00+00:00,2026-02-19 02:00:00+00:00,38740.0,LRD0224,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38740,2026-02-18 13:00:00+00:00,2026-02-19 02:00:00+00:00,38740.0,LRD0225,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38800,2026-02-20 23:00:00+00:00,2026-02-21 18:00:00+00:00,38800.0,LRD0226,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38800,2026-02-20 23:00:00+00:00,2026-02-21 18:00:00+00:00,38800.0,LRD0227,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38940,2026-02-23 07:00:00+00:00,2026-02-23 23:00:00+00:00,38940.0,LRD0228,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38940,2026-02-23 07:00:00+00:00,2026-02-23 23:00:00+00:00,38940.0,LRD0229,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38082,2026-02-03 10:00:00+00:00,2026-02-04 08:00:00+00:00,38082.0,MEY0156,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38082,2026-02-03 10:00:00+00:00,2026-02-04 08:00:00+00:00,38082.0,MEY0157,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38161,2026-02-08 18:00:00+00:00,2026-02-09 10:00:00+00:00,38161.0,MEY0160,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38161,2026-02-08 18:00:00+00:00,2026-02-09 10:00:00+00:00,38161.0,MEY0161,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38380,2026-02-11 08:00:00+00:00,2026-02-12 08:00:00+00:00,38380.0,MEY0162,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38380,2026-02-11 08:00:00+00:00,2026-02-12 08:00:00+00:00,38380.0,MEY0163,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38540,2026-02-13 16:00:00+00:00,2026-02-14 19:00:00+00:00,38540.0,MEY0164,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38540,2026-02-13 16:00:00+00:00,2026-02-14 19:00:00+00:00,38540.0,MEY0165,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38544,2026-02-17 09:00:00+00:00,2026-02-18 10:00:00+00:00,38544.0,MEY0166,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38544,2026-02-17 09:00:00+00:00,2026-02-18 10:00:00+00:00,38544.0,MEY0167,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38720,2026-02-19 17:00:00+00:00,2026-02-20 15:00:00+00:00,38720.0,MEY0168,KAT,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
MEY,38720,2026-02-19 17:00:00+00:00,2026-02-20 15:00:00+00:00,38720.0,MEY0169,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
MEY,38741,2026-02-22 10:00:00+00:00,2026-02-23 08:00:00+00:00,38741.0,MEY0170,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38741,2026-02-22 10:00:00+00:00,2026-02-23 08:00:00+00:00,38741.0,MEY0171,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38860,2026-02-25 11:00:00+00:00,2026-02-26 09:00:00+00:00,38860.0,MEY0172,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
MEY,38860,2026-02-25 11:00:00+00:00,2026-02-26 09:00:00+00:00,38860.0,MEY0173,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
VIC,38162,2026-02-04 10:00:00+00:00,2026-02-04 20:00:00+00:00,38162.0,VIC2713,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
VIC,38260,2026-02-05 14:30:00+00:00,2026-02-06 14:00:00+00:00,38260.0,VIC2715,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
VIC,38260,2026-02-05 14:30:00+00:00,2026-02-06 14:00:00+00:00,38260.0,VIC2716,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
VIC,38340,2026-02-08 13:00:00+00:00,2026-02-09 08:00:00+00:00,38340.0,VIC2717,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
VIC,38340,2026-02-08 13:00:00+00:00,2026-02-09 08:00:00+00:00,38340.0,VIC2718,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
